id,symbol,state_id
1,21STCENMGM,1000
2,BLUECHIP,1000
3,WINSOME,1000
4,3PLAND,1000
5,5PAISA,1000
6,8KMILES,1000
7,A2ZINFRA,1000
8,AARVI,1000
9,ABGSHIP,1000
10,ABMINTLTD,1000
11,ACE,1000
12,ADANIGREEN,1000
13,ADANITRANS,1000
14,ADHUNIK,1000
15,ADROITINFO,1000
16,AFL,1000
17,AHLADA,1000
18,AIFL,1000
19,AIONJSW,1000
20,ALBERTDAVD,1000
21,ALCHEM,1000
22,ALMONDZ,1000
23,ALOKTEXT,1000
24,ALPSINDUS,1000
25,ANGIND,1000
26,ANKITMETAL,1000
27,ANTGRAPHIC,1000
28,APEX,1000
29,ARCOTECH,1000
30,ARENTERP,1000
31,ARROWGREEN,1000
32,ATLANTA,1000
33,ATLASCYCLE,1000
34,ATNINTER,1000
35,AURDIS,1000
36,AVADHSUGAR,1000
37,BAGFILMS,1000
38,BANSAL,1000
39,BDR,1000
40,BEDMUTHA,1000
41,BGLOBAL,1000
42,BHAGYANGR,1000
43,BHARATIDIL,1000
44,BHARATRAS,1000
45,BIGBLOC,1000
46,BILENERGY,1000
47,BILPOWER,1000
48,BIOFILCHEM,1000
49,BIRLACABLE,1000
50,BKMINDST,1000
51,BLUECOAST,1000
52,BOHRA,1000
53,BOMDYEING,1000
54,BRFL,1000
55,BURNPUR,1000
56,BUTTERFLY,1000
57,BVCL,1000
58,CADSYS,1000
59,CALSOFT,1000
60,CASTEXTECH,1000
61,CENTRALBK,1000
62,CEREBRAINT,1000
63,CHROMATIC,1000
64,CIGNITITEC,1000
65,CINEVISTA,1000
66,CMMIPL,1000
67,CNOVAPETRO,1000
68,CONTI,1000
69,CREATIVE,1000
70,CREATIVEYE,1000
71,CROWN,1000
72,CURATECH,1000
73,CYBERMEDIA,1000
74,DBSTOCKBRO,1000
75,DCMFINSERV,1000
76,DELTAMAGNT,1000
77,DHARSUGAR,1000
78,DIAPOWER,1000
79,DRL,1000
80,EASUNREYRL,1000
81,ECEIND,1000
82,EDL,1000
83,EDUCOMP,1000
84,ELECTROSL,1000
85,EMAMIINFRA,1000
86,EMCO,1000
87,EMKAYTOOLS,1000
88,ESSDEE,1000
89,EUROCERA,1000
90,EUROMULTI,1000
91,EXCEL,1000
92,EXCELINDUS,1000
93,FCL,1000
94,FEDDERELEC,1000
95,FLEXITUFF,1000
96,FOCUS,1000
97,GAEL,1000
98,GAL,1000
99,GALLISPAT,1000
100,GAMMNINFRA,1000
101,GANGOTRI,1000
102,GAYAHWS,1000
103,GEMINI,1000
104,GIRRESORTS,1000
105,GKWLIMITED,1000
106,GLFL,1000
107,GLOBALVECT,1000
108,GLOBUSSPR,1000
109,GMBREW,1000
110,GOENKA,1000
111,GOLDENTOBC,1000
112,GOLDSTAR,1000
113,GRAPHITE,1000
114,GRETEX,1000
115,GROBTEA,1000
116,GTLINFRA,1000
117,GTNIND,1000
118,GTNTEX,1000
119,GUJNRECOKE,1000
120,GUJRAFFIA,1000
121,GVKPIL,1000
122,HANUNG,1000
123,HAVISHA,1000
124,HBSL,1000
125,HDIL,1000
126,HECPROJECT,1000
127,HEXATRADEX,1000
128,HILTON,1000
129,HINDNATGLS,1000
